"file","time.user.self","time.sys.self","time.elapsed","rollAngle","panAngle","tiltAngle","detectionConfidence","landmarkingConfidence","joyLikelihood","sorrowLikelihood","angerLikelihood","surpriseLikelihood","underExposedLikelihood","blurredLikelihood","headwearLikelihood","boundingPoly.x1","boundingPoly.x2","boundingPoly.x3","boundingPoly.x4","boundingPoly.y1","boundingPoly.y2","boundingPoly.y3","boundingPoly.y4","fdBoundingPoly.x1","fdBoundingPoly.x2","fdBoundingPoly.x3","fdBoundingPoly.x4","fdBoundingPoly.y1","fdBoundingPoly.y2","fdBoundingPoly.y3","fdBoundingPoly.y4","landmarks.CHIN_GNATHION_position.x","landmarks.CHIN_GNATHION_position.y","landmarks.CHIN_GNATHION_position.z","landmarks.CHIN_LEFT_GONION_position.x","landmarks.CHIN_LEFT_GONION_position.y","landmarks.CHIN_LEFT_GONION_position.z","landmarks.CHIN_RIGHT_GONION_position.x","landmarks.CHIN_RIGHT_GONION_position.y","landmarks.CHIN_RIGHT_GONION_position.z","landmarks.FOREHEAD_GLABELLA_position.x","landmarks.FOREHEAD_GLABELLA_position.y","landmarks.FOREHEAD_GLABELLA_position.z","landmarks.LEFT_EAR_TRAGION_position.x","landmarks.LEFT_EAR_TRAGION_position.y","landmarks.LEFT_EAR_TRAGION_position.z","landmarks.LEFT_EYE_BOTTOM_BOUNDARY_position.x","landmarks.LEFT_EYE_BOTTOM_BOUNDARY_position.y","landmarks.LEFT_EYE_BOTTOM_BOUNDARY_position.z","landmarks.LEFT_EYEBROW_UPPER_MIDPOINT_position.x","landmarks.LEFT_EYEBROW_UPPER_MIDPOINT_position.y","landmarks.LEFT_EYEBROW_UPPER_MIDPOINT_position.z","landmarks.LEFT_EYE_LEFT_CORNER_position.x","landmarks.LEFT_EYE_LEFT_CORNER_position.y","landmarks.LEFT_EYE_LEFT_CORNER_position.z","landmarks.LEFT_EYE_position.x","landmarks.LEFT_EYE_position.y","landmarks.LEFT_EYE_position.z","landmarks.LEFT_EYE_PUPIL_position.x","landmarks.LEFT_EYE_PUPIL_position.y","landmarks.LEFT_EYE_PUPIL_position.z","landmarks.LEFT_EYE_RIGHT_CORNER_position.x","landmarks.LEFT_EYE_RIGHT_CORNER_position.y","landmarks.LEFT_EYE_RIGHT_CORNER_position.z","landmarks.LEFT_EYE_TOP_BOUNDARY_position.x","landmarks.LEFT_EYE_TOP_BOUNDARY_position.y","landmarks.LEFT_EYE_TOP_BOUNDARY_position.z","landmarks.LEFT_OF_LEFT_EYEBROW_position.x","landmarks.LEFT_OF_LEFT_EYEBROW_position.y","landmarks.LEFT_OF_LEFT_EYEBROW_position.z","landmarks.LEFT_OF_RIGHT_EYEBROW_position.x","landmarks.LEFT_OF_RIGHT_EYEBROW_position.y","landmarks.LEFT_OF_RIGHT_EYEBROW_position.z","landmarks.LOWER_LIP_position.x","landmarks.LOWER_LIP_position.y","landmarks.LOWER_LIP_position.z","landmarks.MIDPOINT_BETWEEN_EYES_position.x","landmarks.MIDPOINT_BETWEEN_EYES_position.y","landmarks.MIDPOINT_BETWEEN_EYES_position.z","landmarks.MOUTH_CENTER_position.x","landmarks.MOUTH_CENTER_position.y","landmarks.MOUTH_CENTER_position.z","landmarks.MOUTH_LEFT_position.x","landmarks.MOUTH_LEFT_position.y","landmarks.MOUTH_LEFT_position.z","landmarks.MOUTH_RIGHT_position.x","landmarks.MOUTH_RIGHT_position.y","landmarks.MOUTH_RIGHT_position.z","landmarks.NOSE_BOTTOM_CENTER_position.x","landmarks.NOSE_BOTTOM_CENTER_position.y","landmarks.NOSE_BOTTOM_CENTER_position.z","landmarks.NOSE_BOTTOM_LEFT_position.x","landmarks.NOSE_BOTTOM_LEFT_position.y","landmarks.NOSE_BOTTOM_LEFT_position.z","landmarks.NOSE_BOTTOM_RIGHT_position.x","landmarks.NOSE_BOTTOM_RIGHT_position.y","landmarks.NOSE_BOTTOM_RIGHT_position.z","landmarks.NOSE_TIP_position.x","landmarks.NOSE_TIP_position.y","landmarks.NOSE_TIP_position.z","landmarks.RIGHT_EAR_TRAGION_position.x","landmarks.RIGHT_EAR_TRAGION_position.y","landmarks.RIGHT_EAR_TRAGION_position.z","landmarks.RIGHT_EYE_BOTTOM_BOUNDARY_position.x","landmarks.RIGHT_EYE_BOTTOM_BOUNDARY_position.y","landmarks.RIGHT_EYE_BOTTOM_BOUNDARY_position.z","landmarks.RIGHT_EYEBROW_UPPER_MIDPOINT_position.x","landmarks.RIGHT_EYEBROW_UPPER_MIDPOINT_position.y","landmarks.RIGHT_EYEBROW_UPPER_MIDPOINT_position.z","landmarks.RIGHT_EYE_LEFT_CORNER_position.x","landmarks.RIGHT_EYE_LEFT_CORNER_position.y","landmarks.RIGHT_EYE_LEFT_CORNER_position.z","landmarks.RIGHT_EYE_position.x","landmarks.RIGHT_EYE_position.y","landmarks.RIGHT_EYE_position.z","landmarks.RIGHT_EYE_PUPIL_position.x","landmarks.RIGHT_EYE_PUPIL_position.y","landmarks.RIGHT_EYE_PUPIL_position.z","landmarks.RIGHT_EYE_RIGHT_CORNER_position.x","landmarks.RIGHT_EYE_RIGHT_CORNER_position.y","landmarks.RIGHT_EYE_RIGHT_CORNER_position.z","landmarks.RIGHT_EYE_TOP_BOUNDARY_position.x","landmarks.RIGHT_EYE_TOP_BOUNDARY_position.y","landmarks.RIGHT_EYE_TOP_BOUNDARY_position.z","landmarks.RIGHT_OF_LEFT_EYEBROW_position.x","landmarks.RIGHT_OF_LEFT_EYEBROW_position.y","landmarks.RIGHT_OF_LEFT_EYEBROW_position.z","landmarks.RIGHT_OF_RIGHT_EYEBROW_position.x","landmarks.RIGHT_OF_RIGHT_EYEBROW_position.y","landmarks.RIGHT_OF_RIGHT_EYEBROW_position.z","landmarks.UPPER_LIP_position.x","landmarks.UPPER_LIP_position.y","landmarks.UPPER_LIP_position.z"
1,0.0900000000000034,0,1.14999999999418,-10.442594,47.19758,-13.045442,0.8935247,0.2097728,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",13,244,244,13,11,11,280,280,52,224,224,52,90,90,262,262,194.79227,248.90204,49.078632,96.26265,230.09302,29.642403,187.40886,189.07487,131.76973,180.3413,118.89586,10.053741,60.66863,189.25197,32.878277,150.11511,149.84619,0.57012093,148.88739,122.353264,-13.257676,135.27951,149.50836,-5.7084527,149.20305,145.50563,-0.0017278462,149.60931,145.67984,-1.990635,157.67014,142.22403,10.137615,151.72565,140.85956,-4.271031,126.49636,136.14597,-16.184443,189.27429,114.85415,24.056286,196.78639,219.27261,35.475815,182.96974,134.36227,14.712601,194.81848,206.53563,32.55644,167.30289,213.97574,21.949593,201.54605,197.706,60.843353,193.16322,182.27737,23.228882,173.03683,182.21843,15.488326,197.12491,171.31604,42.63974,203.95297,169.93942,9.9883375,163.2404,143.75577,145.86713,194.6595,129.96075,50.230442,197.02513,100.80083,40.648655,184.42719,129.95908,39.932217,193.43903,125.531296,49.5445,195.20586,125.299866,48.932213,197.48502,121.62955,63.73839,196.09375,120.98658,45.41184,167.72069,124.48946,-0.072491445,200.58038,102.970505,66.78195,196.8135,196.97174,26.72493
1,0.0599999999999881,0,0.700000000011642,1.7787359,-5.911884,-0.99242675,0.9999505,0.78448164,"VERY_UNLIKELY","UNLIKELY","UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",10,127,127,10,10,10,146,146,23,113,113,23,44,44,134,134,64.448204,133.23373,-2.53327,31.997738,111.29361,31.888744,104.589806,113.74024,24.359823,65.94849,63.75969,-10.17004,30.376589,88.08508,46.259296,48.739853,74.54637,-0.2013855,47.313602,59.225327,-4.174831,42.216232,71.68596,3.9889576,48.900654,71.66795,0.00029168025,48.175285,71.99039,-0.70555216,55.987713,73.04088,-0.56283414,48.63435,69.52279,-2.3605003,37.528366,63.157135,4.3979707,75.03946,64.99527,-9.677586,64.534485,117.536446,-7.852397,65.69297,71.8032,-9.19945,65.04877,110.78333,-7.9255958,52.75128,110.07384,-0.058797054,77.7622,111.03316,-2.878061,64.54732,97.50258,-10.994124,56.58328,94.46871,-4.811208,73.783775,95.55427,-6.7801514,64.37434,92.071495,-19.240818,110.67306,90.735275,37.98512,82.99958,74.958084,-3.8888679,85.70745,60.511765,-8.154447,77.1434,72.85472,-2.7473032,82.08601,71.97391,-3.5192826,84.430984,73.14969,-4.5090094,91.22859,73.14552,-1.1567564,83.96654,70.66636,-6.0254893,57.447247,63.88085,-7.9516826,97.47113,65.51409,-1.4463383,64.70628,104.21973,-10.756393
1,0.0900000000000034,0.019999999999996,0.919999999998254,9.06966,43.6788,-4.238261,0.9991597,0.6408335,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",10,137,137,10,10,10,158,158,32,128,128,32,47,47,143,143,89.5153,148.67265,17.274237,41.758415,119.04159,12.429112,99.45247,124.43396,67.439964,106.72509,74.52919,6.3215733,35.587967,91.002594,18.860252,84.44154,83.980255,0.038258795,89.02046,68.29465,-5.433073,77.94169,80.92394,-2.5226653,84.832146,80.871796,0.00017465212,85.08879,81.757515,-1.023152,90.669525,83.11676,5.7682056,87.05621,79.360886,-2.0028756,74.56404,71.00682,-7.0428567,112.57631,75.35058,13.943292,96.40386,132.75986,11.76545,103.872185,82.02928,7.6183953,97.48422,125.8183,11.288654,80.3414,122.7679,6.045583,103.497665,124.79394,27.223234,101.825386,111.943016,7.965953,92.03246,107.92707,4.9629645,106.908615,108.766205,19.645748,108.210075,106.47322,1.1023194,95.619965,97.119194,80.17029,112.744415,86.79193,27.038712,119.77356,70.98709,23.91026,107.21709,83.81542,21.773624,112.584305,84.06123,26.753645,114.225006,84.33165,26.72089,116.40413,84.15622,35.057087,115.41591,81.86161,25.038996,98.08049,74.24255,0.8259049,121.76277,75.16232,38.00929,100.31853,119.39186,8.653434
1,0.0799999999999983,0.0300000000000011,1.16000000000349,-6.3444633,41.8945,5.0290475,0.9999789,0.62990606,"LIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",10,212,212,10,11,11,246,246,52,201,201,52,59,59,208,208,156.73087,213.90668,8.686704,71.821106,186.77464,9.235565,166.21806,183.71307,93.31924,152.30927,90.78633,10.467679,49.544025,153.73898,26.429295,122.64728,113.076904,-1.3981601,121.68461,86.009094,-6.009271,108.40323,110.3194,-4.721811,122.73024,109.37616,-0.0014259585,121.5995,108.79881,-2.5680337,131.49574,109.88231,7.8669424,123.5974,104.20307,-3.4691768,100.361664,95.999466,-9.078561,162.06055,91.54589,22.226345,160.4926,186.25862,4.145778,152.75868,103.10225,10.420395,159.63509,172.64365,5.242552,124.4499,170.6259,-2.1824138,169.77133,172.32516,30.51425,162.31914,147.41812,3.4428122,142.26172,145.84236,-9.401924e-05,166.22942,144.82755,22.317684,167.42358,136.21838,-5.919389,150.14781,147.68492,120.29458,167.47061,111.416824,39.66395,171.98866,84.36499,38.794933,158.44482,107.83825,32.481483,165.68109,107.349434,39.448048,169.1738,107.27145,39.818565,173.11235,108.2136,52.937794,169.87549,102.71153,37.83542,139.84833,94.32341,2.2666786,177.7598,93.37212,59.883068,162.7671,160.36334,2.5123038
1,0.0799999999999983,0.00999999999999801,0.960000000006403,0.14558434,-13.1722975,-4.964055,0.9412674,0.4643274,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_LIKELY",11,185,185,11,11,11,213,213,25,154,154,25,63,63,192,192,86.468315,196.6305,-0.37349942,44.36705,161.51027,54.19596,149.86629,163.88153,29.585436,84.58031,94.52881,-18.590912,43.810326,125.766754,73.344604,62.310802,109.74011,0.24911015,58.125587,87.71034,-6.6959105,52.62242,105.6617,7.4812083,63.49305,105.25986,0.00030103503,60.55309,106.27311,-0.5429931,72.98572,106.97251,-1.8689593,60.907337,102.80481,-3.306232,45.611477,92.88016,8.034865,97.49489,95.23239,-19.572313,84.90077,173.67972,-9.744428,84.75184,106.17569,-16.38112,85.08748,163.26509,-10.550413,68.23485,162.94456,3.56019,106.28645,162.99454,-5.5608277,83.73291,145.3798,-16.257372,71.82305,139.7909,-5.534861,98.34096,140.2388,-12.18081,82.30936,137.83208,-28.740255,160.48465,128.38435,46.23187,111.816696,110.89956,-11.628528,113.859985,88.98728,-19.69381,101.341034,108.0384,-8.82237,111.74964,107.10669,-11.387229,113.20897,107.50259,-12.922361,124.257385,107.31848,-9.205202,112.220505,103.9951,-15.282395,72.56142,94.66925,-13.734353,131.3608,94.854164,-11.942527,84.25734,154.33047,-15.246631
1,0.0800000000000125,0,0.889999999999418,-13.213946,-33.56451,-8.441195,0.9999914,0.70813954,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",11,227,227,11,NA,NA,231,231,22,187,187,22,52,52,217,217,102.4482,221.94852,-4.36303,71.595474,176.44281,76.1279,183.99649,161.46704,2.1183178,71.499176,97.61822,-31.761112,69.85852,129.54202,96.10809,57.976204,118.12741,1.4926193,44.0278,92.86189,-6.927951,48.078896,113.74403,13.638749,58.867615,113.00935,0.002191212,54.115196,114.10347,0.6712241,68.06935,112.89739,-5.697126,52.530743,110.21203,-2.85936,36.818703,99.46481,16.262691,86.461464,96.86275,-38.25152,94.77939,192.55284,-15.154621,75.56045,111.96306,-28.29031,92.03952,180.76404,-16.847164,79.957245,181.94354,7.009954,119.515274,176.76122,-20.386969,85.21918,157.57014,-24.700375,73.20424,153.94614,-7.0207467,103.65599,149.19754,-26.967419,73.418274,150.06389,-38.840454,189.15929,108.885025,12.641953,111.63699,110.315346,-34.49609,103.555466,84.91597,-46.13624,100.39446,108.69304,-27.180414,110.37079,105.00256,-34.7789,110.38277,106.5609,-36.464725,124.30678,103.30078,-36.83616,107.36509,102.8542,-38.998882,59.656116,99.518394,-20.868176,128.53937,87.150604,-44.116867,88.45984,172.65334,-22.331099
1,0.0700000000000074,0.0300000000000011,0.80000000000291,-14.406473,-34.44219,-7.7336507,0.9999491,0.7060434,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",11,223,223,11,NA,NA,209,209,20,186,186,20,30,30,195,195,102.31355,200.79102,-5.951041,71.15109,155.88658,73.639534,179.66582,138.4491,-0.7380473,67.63039,78.32228,-31.601639,68.8943,110.447754,93.627335,54.65847,99.63509,1.1921779,41.142296,74.431595,-6.797672,45.826008,95.13344,13.169855,55.988037,95.572754,-0.0020665494,51.449257,95.09793,0.31513602,64.75888,93.508026,-6.0549984,49.870632,91.499146,-3.0938115,34.710392,81.3666,16.091097,82.05176,76.558876,-38.257084,93.338036,171.18765,-16.429731,71.41109,90.60155,-28.572886,89.70805,159.8682,-17.975033,76.068436,158.97354,6.335675,121.9397,151.02603,-22.102375,81.56729,137.08398,-25.407553,70.3631,133.01384,-7.7613983,99.88781,128.15166,-27.836641,70.06201,129.68466,-38.998302,186.20287,87.714325,10.396708,106.06262,90.89466,-34.899876,98.52513,65.20526,-46.1042,95.4568,88.10304,-27.625538,108.21468,88.597336,-35.600166,105.6514,86.400734,-36.935997,119.792816,83.2487,-37.463013,102.72977,83.015274,-39.325466,56.381683,80.66752,-20.673794,123.12851,67.12185,-44.50836,85.06995,151.5105,-23.327745
1,0.0799999999999983,0,0.769999999989523,-9.164955,-40.98754,-2.5744328,0.999484,0.43972045,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_LIKELY",11,215,215,11,9,9,247,247,26,153,153,26,87,87,213,213,84.65368,232.33383,-19.444963,70.77742,195.21011,64.331825,167.75023,183.1334,-20.317186,62.789238,111.52084,-31.957792,75.89739,151.96536,86.52536,52.772087,132.82724,0.23602648,40.59134,106.886444,-4.3004365,45.446377,128.71515,13.205026,52.341763,127.92589,0.0018206252,49.346355,128.47168,0.07024579,62.509933,127.66811,-7.8959794,47.693203,124.40729,-2.7633975,36.373024,114.470436,18.170689,75.94602,110.573944,-40.239967,79.29828,204.21066,-25.957172,66.738205,126.10101,-30.113083,77.92258,193.58391,-26.314821,67.32651,193.56967,-1.0147669,101.425804,189.38403,-33.276077,71.22668,171.76608,-31.110228,63.155396,167.19492,-12.597592,90.4974,164.61105,-35.478348,60.811874,164.23923,-42.49498,176.75916,136.60056,-7.9325356,98.751335,126.46571,-41.01732,92.07655,100.682495,-49.285408,88.46163,123.632355,-32.184635,97.80467,121.870346,-40.405796,98.032936,122.55626,-42.544502,111.71777,120.61778,-44.696987,95.12765,118.64676,-44.235786,52.87229,113.33398,-20.098688,115.74593,104.85896,-51.081055,75.01998,186.00897,-30.095268
1,0.0600000000000023,0.019999999999996,0.919999999998254,0.81079924,-46.85684,0.69458133,0.9985338,0.4188597,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",12,243,243,12,13,13,281,281,21,167,167,21,90,90,236,236,74.17656,254.45486,-29.83648,73.33171,213.93916,66.49768,172.04984,214.11215,-38.833282,69.76031,115.36661,-35.977737,89.67737,169.44211,92.24775,57.243233,138.00041,0.17605148,49.703682,107.894485,-2.5012295,52.613033,133.6625,15.308613,58.496822,133.33284,0.0010583545,55.44646,133.28741,0.32615995,67.01109,133.97945,-9.337435,54.102497,128.40738,-2.4817522,46.24587,116.855255,22.55034,83.383316,116.28897,-46.644928,70.37109,220.0332,-35.47092,70.503265,131.81226,-35.03614,71.10373,207.44203,-35.173717,62.07566,207.4066,-5.7206016,97.39534,206.99777,-45.83765,66.20493,182.17348,-38.73603,61.657288,176.84756,-17.089348,89.32161,177.67023,-45.482944,55.393024,171.67603,-49.645905,198.93573,169.5549,-24.31155,105.033226,138.03558,-51.056023,101.87766,107.97986,-58.176563,96.17955,133.69582,-40.18014,105.535194,132.99187,-50.572063,104.72943,133.36765,-52.398212,119.83245,133.7396,-56.41128,102.19567,128.47612,-53.801094,60.018967,116.25443,-21.719007,126.63934,116.95247,-63.20942,67.70515,198.65318,-38.550278
1,0.109999999999999,0.00999999999999801,0.979999999995925,-5.2112203,0.18130462,2.6809378,0.9997912,0.5669621,"VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",12,273,273,12,NA,NA,292,292,44,231,231,44,59,59,246,246,151.88602,256.8067,-9.9980545,66.94109,222.29065,61.169132,228.80605,207.63565,61.663883,137.78773,101.87279,-17.177845,53.839535,173.59483,95.72556,101.65541,129.65237,-0.73014915,94.32486,97.87544,-7.80233,84.676346,128.21126,7.343206,102.06767,128.39551,-0.000483267,98.93632,126.02203,-1.5682681,116.947395,123.512054,0.5020439,99.75214,120.66813,-4.844754,73.01017,114.30916,7.9610915,157.00456,101.45897,-14.181777,148.66951,221.34383,-19.713118,138.02742,116.126526,-16.184729,146.9816,206.72238,-18.85631,116.40456,207.83862,-3.6345577,180.0909,201.78241,-2.8305488,144.40681,178.29515,-23.795725,126.06755,171.31029,-12.143628,161.44283,169.72868,-12.153954,145.57933,165.72052,-41.72589,232.75385,158.06061,96.294136,178.7025,123.775116,-0.48371312,179.87996,90.00951,-7.4953203,162.036,120.42699,0.6369119,177.66031,123.34488,0.16075486,179.86536,118.74254,-1.4309574,194.16177,118.24574,7.58754,178.5687,113.54137,-4.603217,118.81532,104.96543,-14.29362,203.77519,98.79629,8.573145,145.62001,195.7834,-24.216898
1,0.0699999999999932,0.0300000000000011,0.590000000011059,1.5940822,5.179392,0.1922007,0.94792664,0.615103,"VERY_LIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY","VERY_UNLIKELY",10,103,103,10,10,10,118,118,21,92,92,21,36,36,108,108,58.362385,106.91963,-0.47822875,27.980652,90.118774,21.737154,85.193,91.69813,26.928865,60.36791,52.29525,-5.2523975,24.099842,71.927574,33.010353,45.067013,60.771927,-0.25594878,45.030262,48.857864,-3.3959227,39.565605,59.130844,2.102384,45.57314,58.888885,-0.00019626552,45.258133,58.91327,-0.79458904,51.273968,59.540215,0.5944526,45.85595,56.993343,-1.8998138,36.120132,52.455673,1.7993414,67.13045,52.9991,-3.564783,59.017185,94.3932,-4.3220525,60.65382,58.959377,-4.610014,59.10921,89.708664,-4.251221,46.821957,88.51934,0.40091863,70.40975,89.08084,2.3784378,59.70392,78.560356,-6.4540987,50.17825,75.93141,-2.5309746,68.11581,76.52272,-1.1278563,60.367493,74.31817,-12.819574,87.821175,74.02213,38.66386,73.96472,60.996506,2.2862623,75.244064,49.721687,-0.6640692,68.32571,59.815575,2.1402977,73.8407,59.038795,2.564942,73.85801,59.695236,1.7638028,78.98093,59.946297,5.6282144,73.727036,57.7687,0.62978226,53.495903,52.46501,-4.804396,82.69958,53.567787,5.949946,59.390766,84.73197,-6.3550076
